地点,品种,重复,产量
聊城,GD7019,1,549.5
聊城,GD7019,2,536.8
聊城,GD7019,3,573.4
聊城,LN87,1,596.1
聊城,LN87,2,685.3
聊城,LN87,3,598.2
聊城,郑单958,1,538.7
聊城,郑单958,2,555.5
聊城,郑单958,3,536.4
聊城,LN79,1,627.4
聊城,LN79,2,662.2
聊城,LN79,3,568.3
莱州,GD655,1,432.5
莱州,GD655,2,594.6
莱州,GD655,3,670.3
莱州,GD7019,1,800.3
莱州,GD7019,2,790.2
莱州,GD7019,3,761.5
莱州,LN87,1,660.7
莱州,LN87,2,706.8
莱州,LN87,3,691.2
莱州,郑单958,1,738.2
莱州,郑单958,2,757.1
莱州,郑单958,3,720.5
莱州,LN79,1,793.3
莱州,LN79,2,802.6
莱州,LN79,3,770.9
嘉祥,GD655,1,677.7
嘉祥,GD655,2,680.0
嘉祥,GD655,3,930.1
嘉祥,GD7019,1,870.3
嘉祥,GD7019,2,879.4
嘉祥,GD7019,3,877.6
嘉祥,LN87,1,779.6
嘉祥,LN87,2,730.1
嘉祥,LN87,3,813.6
嘉祥,郑单958,1,794.1
嘉祥,郑单958,2,848.3
嘉祥,郑单958,3,787.5
嘉祥,LN79,1,840.5
嘉祥,LN79,2,860.7
嘉祥,LN79,3,835.4
泰安,GD655,1,680.0
泰安,GD655,2,778.3
泰安,GD655,3,734.3
泰安,GD7019,1,771.2
泰安,GD7019,2,702.3
泰安,GD7019,3,769.5
泰安,LN87,1,746.2
泰安,LN87,2,789.6
泰安,LN87,3,689.9
泰安,郑单958,1,724.3
泰安,郑单958,2,685.7
泰安,郑单958,3,713.2
泰安,LN79,1,782.2
泰安,LN79,2,713.3
泰安,LN79,3,743.1
济南,GD655,1,736.6
济南,GD655,2,774.9
济南,GD655,3,716.1
济南,GD7019,1,907.2
济南,GD7019,2,926.7
济南,GD7019,3,920.9
济南,LN87,1,732.5
济南,LN87,2,746.8
济南,LN87,3,782.5
济南,郑单958,1,901.3
济南,郑单958,2,833.6
济南,郑单958,3,837.2
济南,LN79,1,911.4
济南,LN79,2,896.9
济南,LN79,3,899.6
淄博,GD655,1,741.2
淄博,GD655,2,702.3
淄博,GD655,3,654.9
淄博,GD7019,1,810.2
淄博,GD7019,2,814.6
淄博,GD7019,3,808.8
淄博,LN87,1,710.3
淄博,LN87,2,678.3
淄博,LN87,3,729.2
淄博,郑单958,1,725.7
淄博,郑单958,2,787.5
淄博,郑单958,3,755.2
淄博,LN79,1,790.6
淄博,LN79,2,808.5
淄博,LN79,3,797.1
潍坊,GD655,1,732.5
潍坊,GD655,2,725.4
潍坊,GD655,3,748.7
潍坊,GD7019,1,746.6
潍坊,GD7019,2,743.2
潍坊,GD7019,3,758.1
潍坊,LN87,1,784.9
潍坊,LN87,2,757.3
潍坊,LN87,3,748.9
潍坊,郑单958,1,664.2
潍坊,郑单958,2,691.0
潍坊,郑单958,3,701.3
潍坊,LN79,1,751.6
潍坊,LN79,2,738.2
潍坊,LN79,3,761.4
金乡,GD655,1,655.4
金乡,GD655,2,666.3
金乡,GD655,3,679.5
金乡,GD7019,1,762.8
金乡,GD7019,2,771.1
金乡,GD7019,3,782.9
金乡,LN87,1,743.5
金乡,LN87,2,717.3
金乡,LN87,3,706.9
金乡,郑单958,1,673.8
金乡,郑单958,2,646.0
金乡,郑单958,3,678.3
金乡,LN79,1,674.6
金乡,LN79,2,672.7
金乡,LN79,3,687.1
枣庄,GD655,1,635.8
枣庄,GD655,2,662.2
枣庄,GD655,3,586.9
枣庄,GD7019,1,676.6
枣庄,GD7019,2,614.3
枣庄,GD7019,3,610.6
枣庄,LN87,1,602.0
枣庄,LN87,2,579.2
枣庄,LN87,3,626.6
枣庄,郑单958,1,712.4
枣庄,郑单958,2,623.4
枣庄,郑单958,3,691.5
枣庄,LN79,1,574.3
枣庄,LN79,2,580.8
枣庄,LN79,3,583.9
曲沃,GD655,1,763.0
曲沃,GD655,2,681.0
曲沃,GD655,3,750.3
曲沃,GD7019,1,857.0
曲沃,GD7019,2,805.6
曲沃,GD7019,3,850.8
曲沃,LN87,1,868.9
曲沃,LN87,2,861.2
曲沃,LN87,3,850.2
曲沃,郑单958,1,770.1
曲沃,郑单958,2,780.3
曲沃,郑单958,3,767.3
曲沃,LN79,1,793.3
曲沃,LN79,2,803.9
曲沃,LN79,3,800.8
新绛,GD655,1,618.2
新绛,GD655,2,678.8
新绛,GD655,3,629.7
新绛,GD7019,1,788.1
新绛,GD7019,2,771.4
新绛,GD7019,3,792.4
新绛,LN87,1,738.3
新绛,LN87,2,771.0
新绛,LN87,3,798.2
新绛,郑单958,1,715.1
新绛,郑单958,2,691.9
新绛,郑单958,3,675.9
新绛,LN79,1,698.6
新绛,LN79,2,727.4
新绛,LN79,3,690.6
永济,GD655,1,620.2
永济,GD655,2,656.6
永济,GD655,3,687.2
永济,GD7019,1,714.1
永济,GD7019,2,734.2
永济,GD7019,3,671.4
永济,LN87,1,759.5
永济,LN87,2,791.2
永济,LN87,3,799.5
永济,郑单958,1,728.1
永济,郑单958,2,806.4
永济,郑单958,3,703.0
永济,LN79,1,701.1
永济,LN79,2,689.4
永济,LN79,3,671.3
渭南,GD655,1,861.2
渭南,GD655,2,828.5
渭南,GD655,3,647.8
渭南,GD7019,1,658.4
渭南,GD7019,2,693.8
渭南,GD7019,3,678.5
渭南,LN87,1,692.2
渭南,LN87,2,713.1
渭南,LN87,3,660.2
渭南,郑单958,1,663.6
渭南,郑单958,2,725.4
渭南,郑单958,3,684.8
渭南,LN79,1,726.9
渭南,LN79,2,717.9
渭南,LN79,3,698.9
兴平,GD655,1,561.7
兴平,GD655,2,599.1
兴平,GD655,3,627.0
兴平,GD7019,1,680.7
兴平,GD7019,2,734.0
兴平,GD7019,3,693.9
兴平,LN87,1,781.2
兴平,LN87,2,778.9
兴平,LN87,3,766.6
兴平,郑单958,1,698.2
兴平,郑单958,2,744.1
兴平,郑单958,3,701.4
兴平,LN79,1,764.1
兴平,LN79,2,784.8
兴平,LN79,3,774.5
